Working Electrode (V),Current (mA)
-0.600925803,-0.833527185
-0.599915564,-0.822741829
-0.598938525,-0.811936508
-0.597949088,-0.801690097
-0.596926093,-0.790703984
-0.595917344,-0.78128645
-0.59491998,-0.772359839
-0.593904018,-0.760875584
-0.592900455,-0.750059786
-0.591945648,-0.743540877
-0.590970576,-0.734764035
-0.589972258,-0.724730198
-0.589015722,-0.715732574
-0.587993205,-0.704608334
-0.586985171,-0.696892443
-0.585983336,-0.688662927
-0.584978521,-0.675610849
-0.583954334,-0.67234895
-0.582989812,-0.663131475
-0.582005143,-0.655881071
-0.580990613,-0.625044224
-0.580044925,-0.636311946
-0.579052448,-0.629588554
-0.578035772,-0.622768479
-0.577080667,-0.611863623
-0.576082587,-0.608234201
-0.575058162,-0.600573083
-0.574062884,-0.565532653
-0.573066652,-0.589576317
-0.572056353,-0.579124317
-0.571081221,-0.57460909
-0.570102155,-0.56521839
-0.569095671,-0.558065425
-0.568107843,-0.551210775
-0.56714052,-0.544191571
-0.566108882,-0.536947919
-0.56511265,-0.527001335
-0.564159811,-0.524924719
-0.563142121,-0.518044748
-0.562177658,-0.511852442
-0.561207712,-0.505261589
-0.560199499,-0.499481626
-0.559238911,-0.495301909
-0.55823195,-0.488427875
-0.557225287,-0.481969386
-0.556238592,-0.476849702
-0.55526644,-0.470681058
-0.554226935,-0.465048797
-0.553239286,-0.459692266
-0.552268088,-0.453963527
-0.551252365,-0.448554958
-0.550258577,-0.442092627
-0.549295127,-0.438541436
-0.548306584,-0.431951252
-0.547342122,-0.421583216
-0.546363235,-0.418934971
-0.545331836,-0.429688342
-0.544325292,-0.413817965
-0.543361545,-0.408076652
-0.542319357,-0.403132144
-0.541322708,-0.396256073
-0.540321946,-0.39408094
-0.53937006,-0.38957069
-0.538363814,-0.384514977
-0.537409127,-0.380603888
-0.536407351,-0.375798583
-0.535387695,-0.37182591
-0.534421504,-0.366185675
-0.533430099,-0.359921396
-0.532412648,-0.358592719
-0.531440973,-0.352152245
-0.530419648,-0.350581016
-0.529407918,-0.351592957
-0.52845037,-0.341752573
-0.527487576,-0.337373902
-0.526478946,-0.334383105
-0.525492191,-0.330456212
-0.524511814,-0.32570801
-0.523493171,-0.32442197
-0.522533774,-0.319619983
